ORF	gene_name	TR_galactose
YGL054C	ERV14	
YGL055W	OLE1	1.916338
YGL056C	SDS23	0.170389
YGL057C		0.032536
YGL058W	RAD6	0.043229
YGL059W		
YGL060W	YBP2	0.022454
YGL061C	DUO1	0.026908
YGL062W	PYC1	0.053458
YGL063C-A		
YGL063W	PUS2	
YGL064C	MRH4	0.053958
YGL065C	ALG2	0.054600
YGL066W	SGF73	0.118641
YGL067W	NPY1	
YGL068W	MNP1	0.064940
YGL069C		0.039190
YGL070C	RPB9	
YGL071W	AFT1	0.139772
YGL072C		0.091686
YGL073W	HSF1	0.070158
YGL074C		0.035491
YGL075C	MPS2	0.018708
YGL076C	RPL7A	0.219946
YGL077C	HNM1	0.037257
YGL078C	DBP3	0.542629
YGL079W		0.041752
YGL080W		0.044905
YGL081W		
YGL082W		
YGL083W	SCY1	0.027207
YGL084C	GUP1	0.029864
YGL085W		0.038760
YGL086W	MAD1	0.044093
YGL087C	MMS2	0.129832
YGL088W		0.438056
YGL089C	MF(ALPHA)2	
YGL090W	LIF1	0.034503
YGL091C	NBP35	0.036355
YGL092W	NUP145	0.156506
YGL093W	SPC105	0.025895
YGL094C	PAN2	0.032241
YGL095C	VPS45	0.057744
YGL096W	TOS8	0.129831
YGL097W	SRM1	0.050793
YGL098W	USE1	0.122250
YGL099W	LSG1	0.066958
YGL100W	SEH1	
YGL101W		0.081611
YGL102C		0.712834
YGL103W	RPL28	0.300622
YGL104C	VPS73	
YGL105W	ARC1	0.024354
YGL106W	MLC1	0.048624
YGL107C	RMD9	0.032475
YGL108C		0.115630
YGL109W		0.051969
YGL110C	CUE3	0.075826
YGL111W	NSA1	0.053590
YGL112C	TAF6	0.030674
YGL113W	SLD3	0.047526
YGL114W		0.043749
YGL115W	SNF4	
YGL116W	CDC20	
YGL117W		0.075734
YGL118C		
YGL119W	ABC1	0.023621
YGL120C	PRP43	
YGL121C	GPG1	
YGL122C	NAB2	
YGL123C-A		
YGL123W	RPS2	0.134174
YGL124C	MON1	0.043389
YGL125W	MET13	0.039133
YGL126W	SCS3	
YGL127C	SOH1	0.018361
YGL128C	CWC23	
YGL129C	RSM23	0.036363
YGL130W	CEG1	0.028141
YGL131C	SNT2	0.132226
YGL132W		0.089692
YGL133W	ITC1	0.115871
YGL134W	PCL10	0.046438
YGL135W	RPL1B	0.087256
YGL136C	MRM2	0.031101
YGL137W	SEC27	
YGL138C		
YGL139W	FLC3	0.071152
YGL140C		0.062441
YGL141W	HUL5	0.044410
YGL142C	GPI10	0.016588
YGL143C	MRF1	0.020234
YGL144C	ROG1	0.028142
YGL145W	TIP20	0.045647
YGL146C		0.023898
YGL147C	RPL9A	0.324294
YGL148W	ARO2	0.032198
YGL149W		0.053861
YGL150C	INO80	0.082914
YGL151W	NUT1	0.050579
YGL152C		0.050883
YGL153W	PEX14	
YGL154C	LYS5	
YGL155W	CDC43	0.017534
YGL156W	AMS1	0.014613
YGL157W		
YGL158W	RCK1	
YGL159W		
YGL160W		
YGL161C	YIP5	0.062156
YGL162W	SUT1	
YGL163C	RAD54	
YGL164C	YRB30	
YGL165C		0.033083
YGL166W	CUP2	0.221727
YGL167C	PMR1	0.085076
YGL168W	HUR1	0.151856
YGL169W	SUA5	0.044596
YGL170C	SPO74	
YGL171W	ROK1	0.078864
YGL172W	NUP49	
YGL173C	KEM1	0.045031
YGL174W	BUD13	0.138424
YGL175C	SAE2	0.004932
YGL176C		0.069704
YGL177W		0.093457
YGL178W	MPT5	0.045795
YGL179C	TOS3	
YGL180W	ATG1	0.055590
YGL181W	GTS1	
YGL182C		
YGL183C	MND1	
YGL184C	STR3	
YGL185C		0.019815
YGL186C	TPN1	0.044609
YGL187C	COX4	0.297766
YGL188C		
YGL188C-A		
YGL189C	RPS26A	0.260637
YGL190C	CDC55	0.258382
YGL191W	COX13	0.114112
YGL192W	IME4	0.028936
YGL193C		0.131160
YGL194C	HOS2	0.042974
YGL194C-A		
YGL195W	GCN1	
YGL196W		0.246541
YGL197W	MDS3	
YGL198W	YIP4	0.041308
YGL199C		0.090625
YGL200C	EMP24	0.034704
YGL201C	MCM6	0.029721
YGL202W	ARO8	0.060208
YGL203C	KEX1	0.067719
YGL204C		
YGL205W	POX1	0.006512
YGL206C	CHC1	
YGL207W	SPT16	0.088160
YGL208W	SIP2	0.032641
YGL209W	MIG2	
YGL210W	YPT32	0.066903
YGL211W	NCS6	0.081154
YGL212W	VAM7	0.061745
YGL213C	SKI8	
YGL214W		
YGL215W	CLG1	0.040560
YGL216W	KIP3	0.071722
YGL217C		0.070572
YGL218W		
YGL219C	MDM34	0.053321
YGL220W		0.048889
YGL221C	NIF3	0.040570
YGL222C	EDC1	0.066126
YGL223C	COG1	0.043450
YGL224C	SDT1	
YGL225W	VRG4	0.026526
YGL226C-A	OST5	
YGL226W		0.045653
YGL227W	VID30	0.020116
YGL228W	SHE10	0.045511
YGL229C	SAP4	0.016317
YGL230C		0.069491
YGL231C		0.045790
YGL232W	TAN1	
YGL233W	SEC15	0.032619
YGL234W	ADE5,7	
YGL235W		0.027714
YGL236C	MTO1	0.023469
YGL237C	HAP2	0.017420
YGL238W	CSE1	
YGL239C		0.040442
YGL240W	DOC1	0.048033
YGL241W	KAP114	
YGL242C		0.039759
YGL243W	TAD1	0.017296
YGL244W	RTF1	0.087995
YGL245W	GUS1	0.081902
YGL246C	RAI1	0.035046
YGL247W	BRR6	0.038527
YGL248W	PDE1	0.019977
YGL249W	ZIP2	
YGL250W		0.017512
YGL251C	HFM1	0.016338
YGL252C	RTG2	0.055163
YGL253W	HXK2	0.420580
YGL254W	FZF1	0.143282
YGL255W	ZRT1	
YGL256W	ADH4	0.067329
YGL257C	MNT2	0.030367
YGL258W	VEL1	0.009059
YGL258W-A		
YGL259W	YPS5	
YGL260W		
YGL261C		0.017178
YGL262W		
YGL263W	COS12	
YGR001C		
YGR002C	SWC4	0.038290
YGR003W	CUL3	0.033927
YGR004W	PEX31	0.025779
YGR005C	TFG2	
YGR006W	PRP18	0.063553
YGR007W	MUQ1	
YGR008C	STF2	0.721025
YGR009C	SEC9	0.091218
YGR010W	NMA2	
YGR011W		
YGR012W		0.020289
YGR013W	SNU71	0.091534
YGR014W	MSB2	0.057390
YGR015C		
YGR016W		0.013643
YGR017W		
YGR018C		0.188488
YGR019W	UGA1	
YGR020C	VMA7	0.024854
YGR021W		0.191168
YGR022C		0.110899
YGR023W	MTL1	0.062197
YGR024C	THG1	0.027217
YGR025W		0.023162
YGR026W		0.055373
YGR027C	RPS25A	0.078061
YGR028W	MSP1	0.027426
YGR029W	ERV1	0.071118
YGR030C	POP6	
YGR031C-A		
YGR031W		
YGR032W	GSC2	0.091167
YGR033C	TIM21	0.075380
YGR034W	RPL26B	0.526949
YGR035C		
YGR035W-A		
YGR036C	CAX4	0.066157
YGR037C	ACB1	0.362991
YGR038W	ORM1	0.067929
YGR039W		
YGR040W	KSS1	0.071239
YGR041W	BUD9	0.053966
YGR042W		0.067218
YGR043C		
YGR044C	RME1	
YGR045C		
YGR046W	TAM41	
YGR047C	TFC4	
YGR048W	UFD1	
YGR049W	SCM4	0.049638
YGR050C		0.054553
YGR051C		
YGR052W		
YGR053C		
YGR054W		0.121780
YGR055W	MUP1	0.122977
YGR056W	RSC1	
YGR057C	LST7	0.026529
YGR058W		0.014207
YGR059W	SPR3	
YGR060W	ERG25	
YGR061C	ADE6	
YGR062C	COX18	
YGR063C	SPT4	0.045118
YGR064W		
YGR065C	VHT1	0.056879
YGR066C		
YGR067C		0.007064
YGR068C		0.071095
YGR068W-A		
YGR069W		
YGR070W	ROM1	0.012489
YGR071C		
YGR072W	UPF3	
YGR073C		0.031473
YGR074W	SMD1	0.055793
YGR075C	PRP38	0.033869
YGR076C	MRPL25	0.023930
YGR077C	PEX8	0.033204
YGR078C	PAC10	0.051267
YGR079W		
YGR080W	TWF1	0.028289
YGR081C	SLX9	0.236739
YGR082W	TOM20	0.044275
YGR083C	GCD2	0.129267
YGR084C	MRP13	0.030686
YGR085C	RPL11B	0.091510
YGR086C	PIL1	0.084645
YGR087C	PDC6	
YGR088W	CTT1	0.035168
YGR089W	NNF2	
YGR090W	UTP22	0.063538
YGR091W	PRP31	0.061866
YGR092W	DBF2	0.145067
YGR093W		0.039285
YGR094W	VAS1	
YGR095C	RRP46	0.073364
YGR096W	TPC1	0.030446
YGR097W	ASK10	0.054034
YGR098C	ESP1	0.032052
YGR099W	TEL2	0.029434
YGR100W	MDR1	0.023734
YGR101W	PCP1	
YGR102C		0.023457
YGR103W	NOP7	
YGR104C	SRB5	
YGR105W	VMA21	0.090843
YGR106C		0.052186
YGR107W		
YGR108W	CLB1	
YGR109C	CLB6	
YGR110W		0.016110
YGR111W		0.010951
YGR112W	SHY1	
YGR113W	DAM1	
YGR114C		0.037534
YGR115C		0.048954
YGR116W	SPT6	0.111269
YGR117C		0.018178
YGR118W	RPS23A	0.386113
YGR119C	NUP57	0.039509
YGR120C	COG2	0.043634
YGR121C	MEP1	
YGR121W-A		
YGR122C-A		
YGR122W		
YGR123C	PPT1	0.038107
YGR124W	ASN2	
YGR125W		0.042534
YGR126W		0.034599
YGR127W		
YGR128C	UTP8	0.068477
YGR129W	SYF2	0.049746
YGR130C		
YGR131W		0.168838
YGR132C	PHB1	
YGR133W	PEX4	0.020560
YGR134W	CAF130	
YGR135W	PRE9	0.070929
YGR136W	LSB1	0.089124
YGR137W		0.101556
YGR138C	TPO2	0.164859
YGR139W		
YGR140W	CBF2	
YGR141W	VPS62	0.029804
YGR142W	BTN2	0.075719
YGR143W	SKN1	0.234578
YGR144W	THI4	
YGR145W	ENP2	0.127123
YGR146C		0.150355
YGR146C-A		
YGR147C	NAT2	0.056276
YGR148C	RPL24B	0.151871
YGR149W		0.054218
YGR150C		0.064683
YGR151C		
YGR152C	RSR1	
YGR153W		
YGR154C	GTO1	
YGR155W	CYS4	
YGR156W	PTI1	0.048269
YGR157W	CHO2	0.039185
YGR158C	MTR3	0.044231
YGR159C	NSR1	0.524576
YGR160W		0.386942
YGR161C	RTS3	0.618992
YGR161W-C		
YGR162W	TIF4631	0.100771
YGR163W	GTR2	
YGR164W		
YGR165W	MRPS35	0.012947
YGR166W	KRE11	0.024980
YGR167W	CLC1	0.096122
YGR168C		
YGR169C	PUS6	
YGR169C-A		
YGR170W	PSD2	0.065066
YGR171C	MSM1	0.030880
YGR172C	YIP1	0.014200
YGR173W	RBG2	
YGR174C	CBP4	
YGR174W-A		
YGR175C	ERG1	0.130424
YGR176W		0.049946
YGR177C	ATF2	0.143085
YGR178C	PBP1	0.147931
YGR179C	OKP1	
YGR180C	RNR4	0.066507
YGR181W	TIM13	0.133674
YGR182C		
YGR183C	QCR9	
YGR184C	UBR1	0.242701
YGR185C	TYS1	0.028232
YGR186W	TFG1	
YGR187C	HGH1	
YGR188C	BUB1	
YGR189C	CRH1	0.189073
YGR190C		0.041274
YGR191W	HIP1	0.054934
YGR192C	TDH3	
YGR193C	PDX1	
YGR194C	XKS1	
YGR195W	SKI6	0.061564
YGR196C	FYV8	0.054364
YGR197C	SNG1	0.052926
YGR198W		
YGR199W	PMT6	0.036906
YGR200C	ELP2	0.047690
YGR201C		
YGR202C	PCT1	
YGR203W		
YGR204C-A		
YGR204W	ADE3	
YGR205W		0.109537
YGR206W		0.063267
YGR207C		0.051072
YGR208W	SER2	0.138348
YGR209C	TRX2	0.148191
YGR210C		0.055994
YGR211W	ZPR1	0.062437
YGR212W	SLI1	0.018834
YGR213C	RTA1	
YGR214W	RPS0A	0.047883
YGR215W	RSM27	
YGR216C	GPI1	
YGR217W	CCH1	0.046523
YGR218W	CRM1	
YGR219W		0.063324
YGR220C	MRPL9	
YGR221C	TOS2	0.027163
YGR222W	PET54	0.033975
YGR223C	HSV2	0.040065
YGR224W	AZR1	
YGR225W	AMA1	
YGR226C		0.013528
YGR227W	DIE2	
YGR228W		0.096240
YGR229C	SMI1	0.111255
YGR230W	BNS1	
YGR231C	PHB2	0.041770
YGR232W	NAS6	0.030206
YGR233C	PHO81	0.087899
YGR234W	YHB1	0.095811
YGR235C		0.054561
YGR236C	SPG1	
YGR237C		0.044174
YGR238C	KEL2	0.021523
YGR239C	PEX21	
YGR240C	PFK1	0.309777
YGR240C-A		
YGR241C	YAP1802	0.070957
YGR242W		0.034513
YGR243W		
YGR244C	LSC2	0.084985
YGR245C	SDA1	0.313429
YGR246C	BRF1	0.033150
YGR247W	CPD1	0.034822
YGR248W	SOL4	
YGR249W	MGA1	
YGR250C		
YGR251W		0.105354
YGR252W	GCN5	0.101853
YGR253C	PUP2	0.122066
YGR254W	ENO1	0.226740
YGR255C	COQ6	0.059199
YGR256W	GND2	0.020037
YGR257C	MTM1	0.016789
YGR258C	RAD2	
YGR259C		0.022127
YGR260W	TNA1	0.042630
YGR261C	APL6	0.048319
YGR262C	BUD32	0.020195
YGR263C		0.025235
YGR264C	MES1	0.097773
YGR265W		0.083627
YGR266W		0.049189
YGR267C	FOL2	0.080486
YGR268C	HUA1	0.085930
YGR269W		
YGR270C-A		
YGR270W	YTA7	0.198884
YGR271C-A		
YGR271W	SLH1	0.099863
YGR272C		0.081885
YGR273C		0.013131
YGR274C	TAF1	
YGR275W	RTT102	
YGR276C	RNH70	0.065242
YGR277C		0.033229
YGR278W	CWC22	0.190800
YGR279C	SCW4	
YGR280C	PXR1	
YGR281W	YOR1	0.091482
YGR282C	BGL2	
YGR283C		
YGR284C	ERV29	
YGR285C	ZUO1	0.105856
YGR286C	BIO2	0.028185
YGR287C		0.008060
YGR288W	MAL13	0.021340
YGR289C	MAL11	
YGR290W		
YGR291C		
YGR292W	MAL12	0.021931
YGR293C		0.015398
YGR294W		0.017583
YGR295C	COS6	
YGR296C-A		
YGR296C-B		
YGR296W	YRF1-3	
YHL001W	RPL14B	0.098048
YHL002C-A		
YHL002W	HSE1	0.061745
YHL003C	LAG1	0.045304
YHL004W	MRP4	
YHL005C		
YHL006C	SHU1	0.074425
YHL006W-A		
YHL007C	STE20	0.040689
YHL008C		0.069498
YHL009C	YAP3	0.019048
YHL010C		
YHL011C	PRS3	0.099350
YHL012W		0.049479
YHL013C	OTU2	
YHL014C	YLF2	
YHL015W	RPS20	0.440109
YHL015W-A		
YHL016C	DUR3	0.016587
YHL017W		
YHL018W		0.053677
YHL019C	APM2	0.020951
YHL019W-A		
YHL020C	OPI1	0.033040
YHL021C		0.026273
YHL022C	SPO11	
YHL023C	RMD11	0.036142
YHL024W	RIM4	0.021340
YHL025W	SNF6	0.083241
YHL026C		0.087475
YHL027W	RIM101	0.062033
YHL028W	WSC4	0.040009
YHL029C		0.048911
YHL030W	ECM29	
YHL030W-A		
YHL031C	GOS1	0.022687
YHL032C	GUT1	0.031658
YHL033C	RPL8A	0.138489
YHL034C	SBP1	
YHL034W-A		0.074819
YHL035C		
YHL036W	MUP3	
YHL037C		
YHL038C	CBP2	
YHL039W		0.026586
YHL040C	ARN1	
YHL041W		
YHL042W		
YHL043W	ECM34	
YHL044W		
YHL045W		
YHL046C		0.013231
YHL046W-A		
YHL047C	ARN2	0.062073
YHL048C-A		
YHL048W	COS8	
YHL049C		
YHL050C		0.011391
YHL050W-A		
YHR001W	OSH7	0.047369
YHR001W-A	QCR10	
YHR002W	LEU5	
YHR003C		0.063458
YHR004C	NEM1	0.034889
YHR005C	GPA1	0.159455
YHR005C-A	MRS11	
YHR006W	STP2	0.093666
YHR007C	ERG11	0.158045
YHR007C-A		
YHR008C	SOD2	0.116302
YHR009C		
YHR010W	RPL27A	0.340489
YHR011W	DIA4	
YHR012W	VPS29	
YHR013C	ARD1	0.039530
YHR014W	SPO13	
YHR015W	MIP6	
YHR016C	YSC84	0.015080
YHR017W	YSC83	
YHR018C	ARG4	0.074900
YHR019C	DED81	0.062144
YHR020W		
YHR021C	RPS27B	0.479677
YHR021W-A	ECM12	
YHR022C		0.020316
YHR022C-A		
YHR023W	MYO1	
YHR024C	MAS2	
YHR025W	THR1	0.022433
YHR026W	PPA1	0.020362
YHR027C	RPN1	
YHR028C	DAP2	0.078947
YHR028W-A		
YHR029C	YHI9	
YHR030C	SLT2	0.088020
YHR031C	RRM3	
YHR032C-A		
YHR032W		0.111327
YHR032W-A		
YHR033W		0.098965
YHR034C	PIH1	
YHR035W		
YHR036W	BRL1	0.081751
YHR037W	PUT2	0.051218
YHR038W	RRF1	0.041866
YHR039C	MSC7	
YHR039C-A	VMA10	
YHR040W	BCD1	
YHR041C	SRB2	0.049945
YHR042W	NCP1	
YHR043C	DOG2	0.069001
YHR044C	DOG1	0.056607
YHR045W		0.038283
YHR046C	INM1	0.093970
YHR047C	AAP1	
YHR048W		0.024431
YHR049C-A		
YHR049W	FSH1	0.168622
YHR050W	SMF2	
YHR050W-A		
YHR051W	COX6	0.237987
YHR052W	CIC1	0.320012
YHR052W-A		
YHR053C	CUP1-1	0.408038
YHR054C		
YHR054W-A		
YHR055C	CUP1-2	0.411546
YHR056C	RSC30	
YHR056W-A		
YHR057C	CPR2	0.101961
YHR058C	MED6	0.077661
YHR059W	FYV4	0.028865
YHR060W	VMA22	
YHR061C	GIC1	
YHR062C	RPP1	0.031776
YHR063C	PAN5	
YHR063W-A		
YHR064C	SSZ1	
YHR065C	RRP3	0.110830
YHR066W	SSF1	0.243388
YHR067W	HTD2	0.066082
YHR068W	DYS1	0.070455
YHR069C	RRP4	
YHR069C-A		0.043298
YHR070C-A		
YHR070W	TRM5	0.070710
YHR071C-A		
YHR071W	PCL5	0.508374
YHR072W	ERG7	0.039302
YHR072W-A	NOP10	0.070582
YHR073C-B		
YHR073W	OSH3	0.080583
YHR073W-A		
YHR074W	QNS1	
YHR075C	PPE1	
YHR076W	PTC7	
YHR077C	NMD2	
YHR078W		0.029438
YHR079C	IRE1	0.029457
YHR079C-A	SAE3	
YHR080C		
YHR081W	LRP1	0.054131
YHR082C	KSP1	
YHR083W	SAM35	0.011213
YHR084W	STE12	0.028170
YHR085W	IPI1	0.174937
YHR086W	NAM8	0.017102
YHR086W-A		
YHR087W		
YHR088W	RPF1	0.155476
YHR089C	GAR1	0.077438
YHR090C	YNG2	
YHR091C	MSR1	0.030174
YHR092C	HXT4	
YHR093W	AHT1	
YHR094C	HXT1	
YHR095W		
YHR096C	HXT5	0.012576
YHR097C		
YHR098C	SFB3	
YHR099W	TRA1	
YHR100C		0.061189
YHR101C	BIG1	
YHR102W	KIC1	0.037448
YHR103W	SBE22	
YHR104W	GRE3	
YHR105W	YPT35	0.018836
YHR106W	TRR2	
YHR107C	CDC12	
YHR108W	GGA2	0.030313
YHR109W	CTM1	0.017316
YHR110W	ERP5	0.022757
YHR111W	UBA4	0.093560
YHR112C		0.054920
YHR113W		0.024422
YHR114W	BZZ1	0.068969
YHR115C	DMA1	0.043576
YHR116W	COX23	0.018639
YHR117W	TOM71	0.034435
YHR118C	ORC6	0.026779
YHR119W	SET1	0.069592
YHR120W	MSH1	0.105158
YHR121W	LSM12	0.044458
YHR122W		0.066272
YHR123W	EPT1	0.007396
YHR124W	NDT80	0.022671
YHR125W		
YHR126C		
YHR127W		0.069174
YHR128W	FUR1	0.081613
YHR129C	ARP1	0.018605
YHR130C		
YHR131C		
YHR131W-A		
YHR132C	ECM14	0.039904
YHR132W-A		
YHR133C	NSG1	
YHR134W	WSS1	
YHR135C	YCK1	0.088697
YHR136C	SPL2	
YHR137C-A		
YHR137W	ARO9	0.014604
YHR138C		
YHR139C	SPS100	
YHR139C-A		
YHR140W		0.067225
YHR141C	RPL42B	0.188896
YHR142W	CHS7	0.052894
YHR143W	DSE2	0.366431
YHR143W-A	RPC10	0.072642
YHR144C	DCD1	0.039929
YHR145C		0.009935
YHR146W	CRP1	0.043934
YHR147C	MRPL6	0.046320
YHR148W	IMP3	0.039956
YHR149C	SKG6	0.052821
YHR150W	PEX28	
YHR151C		0.019024
YHR152W	SPO12	0.091873
YHR153C	SPO16	
YHR154W	RTT107	0.039565
YHR155W	YSP1	0.044023
YHR156C	LIN1	0.012702
YHR157W	REC104	0.034287
YHR158C	KEL1	0.046559
YHR159W		0.013681
YHR160C	PEX18	
YHR161C	YAP1801	0.029497
YHR162W		0.236099
YHR163W	SOL3	
YHR164C	DNA2	
YHR165C	PRP8	0.084282
YHR165W-A		
YHR166C	CDC23	0.039063
YHR167W	THP2	0.042793
YHR168W	MTG2	0.018129
YHR169W	DBP8	0.050910
YHR170W	NMD3	0.089919
YHR171W	ATG7	0.018096
YHR172W	SPC97	
YHR173C		0.044838
YHR174W	ENO2	
YHR175W	CTR2	0.778856
YHR175W-A		
YHR176W	FMO1	0.010789
YHR177W		0.011564
YHR178W	STB5	0.021035
YHR179W	OYE2	
YHR180C-B		
YHR180W		0.049073
YHR180W-A		
YHR181W	SVP26	0.019287
YHR182C-A		0.193204
YHR182W		
YHR183W	GND1	0.035871
YHR184W	SSP1	
YHR185C	PFS1	
YHR186C	KOG1	0.037516
YHR187W	IKI1	0.047479
YHR188C	GPI16	
YHR189W	PTH1	
YHR190W	ERG9	0.052354
YHR191C	CTF8	0.076547
YHR192W		0.076511
YHR193C	EGD2	0.109245
YHR193C-A		
YHR194W	MDM31	
YHR195W	NVJ1	0.120560
YHR196W	UTP9	0.284598
YHR197W	RIX1	
YHR198C		
YHR199C		
YHR199C-A		
YHR200W	RPN10	
YHR201C	PPX1	
YHR202W		0.017172
YHR203C	RPS4B	
YHR204W	MNL1	0.016791
YHR205W	SCH9	0.070576
YHR206W	SKN7	0.055354
YHR207C	SET5	
YHR208W	BAT1	
YHR209W		0.026354
YHR210C		
YHR211W	FLO5	0.022113
YHR212C		
YHR212W-A		
YHR213W		0.015415
YHR213W-A		
YHR213W-B		
YHR214C-D		
YHR214C-E		
YHR214W		0.030935
YHR214W-A		
YHR215W	PHO12	
YHR216W	IMD2	0.029124
YHR217C		
YHR218W		
YHR218W-A		
YHR219C-A		
YHR219W		
YIL001W		0.025889
YIL002C	INP51	
YIL002W-A		
YIL003W	CFD1	0.052557
YIL004C	BET1	0.054828
YIL005W	EPS1	0.035729
YIL006W	YIA6	0.019607
YIL007C	NAS2	0.075313
YIL008W	URM1	
YIL009C-A	EST3	0.015133
YIL009W	FAA3	0.136645
YIL010W	DOT5	0.022269
YIL011W	TIR3	0.014736
YIL012W		
YIL013C	PDR11	0.025102
YIL014C-A		
YIL014W	MNT3	0.055717
YIL015W	BAR1	0.102191
YIL016W	SNL1	0.104546
YIL017C	VID28	
YIL018W	RPL2B	0.173446
YIL019W	FAF1	0.141600
YIL020C	HIS6	0.059066
YIL020C-A		
YIL021C-A		
YIL021W	RPB3	0.121240
YIL022W	TIM44	0.110117
YIL023C		0.032767
YIL024C		
YIL025C		
YIL026C	IRR1	0.034587
YIL027C	KRE27	
YIL028W		
YIL029C		0.029906
YIL029W-A		
YIL030C	SSM4	0.057160
YIL030W-A		
YIL031W	ULP2	0.031171
YIL032C		
YIL033C	BCY1	0.048370
YIL034C	CAP2	0.042319
YIL035C	CKA1	0.121855
YIL036W	CST6	
YIL037C	PRM2	0.010395
YIL038C	NOT3	0.087724
YIL039W		0.026440
YIL040W	APQ12	
YIL041W	GVP36	0.052924
YIL042C	PKP1	0.029900
YIL043C	CBR1	0.048648
YIL044C	AGE2	0.034642
YIL045W	PIG2	
YIL046W	MET30	0.088551
YIL046W-A		
YIL047C	SYG1	0.153348
YIL047C-A		
YIL048W	NEO1	0.100746
YIL049W	DFG10	0.028758
YIL050W	PCL7	0.107194
YIL051C	MMF1	0.098758
YIL052C	RPL34B	0.169320
YIL053W	RHR2	
YIL054W		
YIL055C		
YIL056W	VHR1	0.100487
YIL057C		
YIL058W		
YIL059C		
YIL060W		0.034283
YIL061C	SNP1	0.036923
YIL062C	ARC15	0.055404
YIL063C	YRB2	0.190636
YIL064W		0.057571
YIL065C	FIS1	0.049012
YIL066C	RNR3	0.011846
YIL066W-A		
YIL067C		0.042650
YIL068C	SEC6	0.063936
YIL068W-A		
YIL069C	RPS24B	0.267149
YIL070C	MAM33	0.028914
YIL071C	PCI8	0.020422
YIL071W-A		
YIL072W	HOP1	0.033341
YIL073C	SPO22	
YIL074C	SER33	0.028699
YIL075C	RPN2	0.070808
YIL076W	SEC28	0.020926
YIL077C		0.051488
YIL078W	THS1	
YIL079C	AIR1	0.048654
YIL082W		0.063703
YIL083C		0.061562
YIL084C	SDS3	0.079307
YIL085C	KTR7	0.058818
YIL086C		0.055181
YIL087C		0.028139
YIL088C	AVT7	0.027570
YIL089W		
YIL090W	ICE2	0.019091
YIL091C		0.083885
YIL092W		0.042783
YIL093C	RSM25	0.087455
YIL094C	LYS12	0.255306
YIL095W	PRK1	0.028260
YIL096C		0.099769
YIL097W	FYV10	
YIL098C	FMC1	0.092155
YIL099W	SGA1	
YIL100C-A		
YIL100W		
YIL101C	XBP1	0.058085
YIL102C		
YIL102C-A		
YIL103W	DPH1	0.124036
YIL104C	SHQ1	0.043426
YIL105C	SLM1	0.056194
YIL105W-A		
YIL106W	MOB1	0.072675
YIL107C	PFK26	0.048517
YIL108W		0.046269
YIL109C	SEC24	
YIL110W		
YIL111W	COX5B	0.050942
YIL112W	HOS4	0.079654
YIL113W	SDP1	0.009470
YIL114C	POR2	0.022055
YIL115C	NUP159	0.103316
YIL115W-A		
YIL116W	HIS5	
YIL117C	PRM5	0.139280
YIL118W	RHO3	0.109139
YIL119C	RPI1	0.036555
YIL120W	QDR1	0.029648
YIL121W	QDR2	0.057829
YIL122W	POG1	0.241497
YIL123W	SIM1	0.141864
YIL124W	AYR1	0.048086
YIL125W	KGD1	0.090218
YIL126W	STH1	0.291566
YIL127C		0.083454
YIL128W	MET18	0.055416
YIL129C	TAO3	0.090473
YIL130W		0.029798
YIL131C	FKH1	0.160249
YIL132C	CSM2	0.017388
YIL133C	RPL16A	0.206934
YIL134C-A		
YIL134W	FLX1	0.045118
YIL135C	VHS2	
YIL136W	OM45	
YIL137C	TMA108	0.018446
YIL138C	TPM2	0.189109
YIL139C	REV7	
YIL140W	AXL2	0.014990
YIL141W		0.015680
YIL142C-A		0.030635
YIL142W	CCT2	0.063433
YIL143C	SSL2	0.025708
YIL144W	TID3	
YIL145C	PAN6	0.033044
YIL146C	ECM37	0.030471
YIL147C	SLN1	0.169504
YIL148W	RPL40A	0.133089
YIL149C	MLP2	
YIL150C	MCM10	0.078308
YIL151C		0.117230
YIL152W		0.029936
YIL153W	RRD1	0.015003
YIL154C	IMP2'	0.059659
YIL155C	GUT2	
YIL156W	UBP7	0.082206
YIL156W-A		
YIL156W-B		
YIL157C		0.035719
YIL158W		0.043947
YIL159W	BNR1	0.031803
YIL160C	POT1	0.026542
YIL161W		0.028786
YIL162W	SUC2	0.011682
YIL163C		
YIL164C	NIT1	0.062224
YIL165C		0.033092
YIL166C		
YIL169C		0.169730
YIL171W-A		
YIL172C		0.030170
YIL173W	VTH1	0.040401
YIL176C		0.013585
YIL177C		
YIL177W-A		
YIR001C	SGN1	0.035002
YIR002C	MPH1	0.123504
YIR003W		0.079978
YIR004W	DJP1	0.068098
YIR005W	IST3	0.068022
YIR006C	PAN1	
YIR007W		0.028799
YIR008C	PRI1	0.031383
YIR009W	MSL1	0.025854
YIR010W	DSN1	0.041500
YIR011C	STS1	0.076483
YIR012W	SQT1	0.069407
YIR013C	GAT4	
YIR014W		0.018488
YIR015W	RPR2	0.149533
YIR016W		0.253279
YIR017C	MET28	0.072415
YIR017W-A		
YIR018C-A		
YIR018W	YAP5	0.172570
YIR019C	MUC1	0.010877
YIR020C		
YIR020C-B		
YIR020W-A		
YIR021W	MRS1	0.037274
YIR021W-A		
YIR022W	SEC11	0.031589
YIR023C-A		
YIR023W	DAL81	0.063681
YIR024C		0.044703
YIR025W	MND2	0.055589
YIR026C	YVH1	0.059687
